Country,Region,Electricity_generated_kW,Education_expenditure_percent_GDP,Energy_consumption_per_capita_BtuPerPerson,Reserves_of_foreign_exchange_dollars
CHINA,East and Southeast Asia,2949000000,3.6,113805000,3265000000000
UNITED STATES,North America,1235000000,6.1,278474000,227760000000
INDIA,South Asia,499136000,4.5,25179000,569544000000
JAPAN,East and Southeast Asia,361617000,3.4,129504000,1160000000000
RUSSIA,Central Asia,301926000,3.7,224858000,597217000000
GERMANY,Europe,275658000,4.7,120457000,96792000000
BRAZIL,South America,240251000,6.0,48889000,318857000000
CANADA,North America,161988000,5.2,311599000,117551000000
FRANCE,Europe,151463000,5.5,123526000,78429000000
"KOREA, SOUTH",East and Southeast Asia,151139000,4.7,234668000,409457000000
SPAIN,Europe,130366000,4.6,101120000,84154000000
ITALY,Europe,128692000,4.3,96797000,84875000000
SAUDI ARABIA,Middle East,119620000,7.8,349692000,436769000000
UNITED KINGDOM,Europe,114749000,5.5,94280000,148569000000
AUSTRALIA,Australia and Oceania,108193000,6.1,223158000,54455000000
TURKEY (TURKIYE),Middle East,106281000,3.4,70521000,90859000000
MEXICO,North America,105586000,4.3,57539000,221944000000
IRAN,Middle East,86058000,3.6,160779000,120600000000
VIETNAM,East and Southeast Asia,85725000,4.1,40263000,92238000000
INDONESIA,East and Southeast Asia,70826000,3.5,37390000,149118000000
SOUTH AFRICA,Africa,65989000,6.6,86197000,54912000000
POLAND,Europe,64806000,5.2,103651000,185515000000
UKRAINE,Europe,60297000,5.4,57856000,41485000000
NETHERLANDS,Europe,59982000,5.3,185536000,27753000000
EGYPT,Africa,59680000,2.5,34975000,34278000000
THAILAND,East and Southeast Asia,55971000,3.2,80602000,217261000000
SWEDEN,Europe,55307000,7.2,142102000,52023000000
ARGENTINA,South America,47631000,5.0,78496000,24381000000
UNITED ARAB EMIRATES,Middle East,44462000,3.9,450432000,231690000000
PAKISTAN,South Asia,43512000,2.4,14076000,12977000000
NORWAY,Europe,41100000,5.9,206961000,81242000000
CHILE,South America,39238000,5.6,71420000,44382000000
MALAYSIA,East and Southeast Asia,37220000,3.9,113163000,112968000000
VENEZUELA,South America,33493000,1.3,54474000,9794000000
AUSTRIA,Europe,33371000,5.1,120211000,11919000000
IRAQ,Middle East,31339000,4.7,64311000,87048000000
PHILIPPINES,East and Southeast Asia,29174000,3.7,17654000,95251000000
BELGIUM,Europe,28248000,6.7,190416000,22374000000
KAZAKHSTAN,Central Asia,27624000,4.5,172936000,21980000000
FINLAND,Europe,26782000,5.9,183540000,14322000000
SWITZERLAND,Europe,26502000,5.2,99578000,822130000000
PORTUGAL,Europe,25409000,5.0,73285000,10332000000
GREECE,Europe,24169000,4.4,92693000,5610000000
BANGLADESH,South Asia,22699000,2.1,11472000,20225000000
ISRAEL,Middle East,22612000,7.1,112437000,214544000000
ALGERIA,Africa,22591000,7.0,61843000,68448000000
CZECHIA,Europe,21802000,5.1,136306000,141988000000
COLOMBIA,South America,21053000,4.9,29305000,61506000000
DENMARK,Europe,20794000,6.4,98513000,103239000000
KUWAIT,Middle East,20294000,6.6,389848000,44104000000
ROMANIA,Europe,19748000,3.7,59377000,64699000000
UZBEKISTAN,Central Asia,17901000,4.9,55305000,9145000000
PERU,South America,16164000,4.0,30923000,76338000000
HUNGARY,Europe,14829000,4.8,96152000,37194000000
MOROCCO,Africa,14615000,6.8,23520000,35269000000
HONG KONG,East and Southeast Asia,13300000,4.0,116811000,425554000000
SINGAPORE,East and Southeast Asia,13134000,2.8,643259000,365494000000
BULGARIA,Europe,12939000,4.0,102171000,40270000000
LAOS,East and Southeast Asia,12738000,2.3,34463000,1770000000
BELARUS,Europe,12653000,4.7,104821000,4392000000
IRELAND,Europe,12321000,3.1,113837000,11688000000
OMAN,Middle East,11589000,5.4,296586000,17298000000
QATAR,Middle East,11400000,3.2,814308000,44692000000
NEW ZEALAND,Australia and Oceania,10643000,6.0,121647000,22065000000
PARAGUAY,South America,8928000,3.3,25733000,9886000000
ECUADOR,South America,8438000,3.7,35700000,4703000000
AZERBAIJAN,Central Asia,8383000,4.3,66467000,12699000000
SERBIA,Europe,8202000,3.6,91884000,26445000000
SLOVAKIA,Europe,8138000,4.6,127582000,11793000000
ANGOLA,Africa,7600000,2.4,9146000,14243000000
BURMA,East and Southeast Asia,7419000,2.1,8384000,9338000000
BAHRAIN,Middle East,7031000,2.2,554202000,5118000000
JORDAN,Middle East,6891000,3.2,32909000,15929000000
TUNISIA,Africa,6639000,7.3,33754000,8770000000
DOMINICAN REPUBLIC,Central America and the Caribbean,6581000,4.6,39329000,13424000000
TURKMENISTAN,Central Asia,6512000,3.1,261142000,24910000000
TAJIKISTAN,Central Asia,6481000,5.9,16192000,3304000000
ETHIOPIA,Africa,5690000,4.5,2366000,3784000000
URUGUAY,South America,5682000,4.6,45755000,17369000000
GHANA,Africa,5519000,3.9,10493000,3624000000
CROATIA,Europe,5518000,5.5,79907000,3336000000
LITHUANIA,Europe,5426000,4.0,83700000,6920000000
SRI LANKA,South Asia,5326000,1.9,12372000,6055000000
LEBANON,Middle East,5161000,1.7,43105000,9240000000
GUATEMALA,Central America and the Caribbean,4995000,3.1,17096000,23834000000
SLOVENIA,Europe,4739000,5.8,104502000,2566000000
GEORGIA,Central Asia,4526000,3.6,56076000,3848000000
PANAMA,Central America and the Caribbean,4485000,3.9,78010000,6856000000
BOLIVIA,South America,4375000,9.8,29340000,87100000
ARMENIA,Central Asia,4265000,2.8,54689000,3684000000
NIGERIA,Africa,4094000,0.5,7993000,38612000000
ZAMBIA,Africa,3986000,3.7,8265000,3173000000
KYRGYZSTAN,Central Asia,3944000,6.2,27580000,3237000000
KENYA,Africa,3824000,4.8,5486000,10065000000
COSTA RICA,Central America and the Caribbean,3751000,6.7,30725000,14177000000
CAMBODIA,East and Southeast Asia,3673000,3.1,15664000,18608000000
LATVIA,Europe,3428000,6.0,65908000,4591000000
HONDURAS,Central America and the Caribbean,3334000,6.4,16642000,7543000000
"CONGO, DEMOCRATIC REPUBLIC OF THE",Africa,3229000,2.7,1305000,5104000000
ESTONIA,Europe,3225000,6.6,73679000,2054000000
MOZAMBIQUE,Africa,2860000,6.3,5789000,3513000000
ALBANIA,Europe,2857000,3.1,27407000,6455000000
NEPAL,South Asia,2853000,4.2,6604000,12456000000
EL SALVADOR,Central America and the Caribbean,2803000,4.1,24421000,3590000000
ZIMBABWE,Africa,2491000,3.9,10855000,261373000
BHUTAN,South Asia,2344000,7.0,64082000,928229000
COTE D'IVOIRE,Africa,2315000,3.4,8489000,6257000000
CYPRUS,Europe,2288000,6.1,107188000,921269000
LUXEMBOURG,Europe,2212000,5.0,224651000,2602000000
NICARAGUA,Central America and the Caribbean,1849000,4.6,10660000,6105000000
TANZANIA,Africa,1818000,3.3,4091000,5050000000
CAMEROON,Africa,1798000,3.2,4271000,4882000000
SENEGAL,Africa,1772000,5.5,8303000,1827000000
MONGOLIA,East and Southeast Asia,1510000,4.7,67132000,4891000000
UGANDA,Africa,1452000,2.7,2252000,3359000000
JAMAICA,Central America and the Caribbean,1242000,6.0,42095000,4869000000
MALI,Africa,1222000,4.4,4307000,647800000
PAPUA NEW GUINEA,East and Southeast Asia,1148000,1.4,8781000,3901000000
GUINEA,Africa,1060000,2.2,5235000,1887000000
MAURITIUS,Africa,955000,4.9,60188000,7465000000
BRUNEI,East and Southeast Asia,904000,4.4,403365000,4032000000
"CONGO, REPUBLIC OF THE",Africa,842000,4.5,7351000,715391000
MALTA,Europe,829000,5.9,234698000,1402000000
MAURITANIA,Africa,812000,1.9,14135000,2039000000
GABON,Africa,785000,3.2,22101000,1447000000
MOLDOVA,Europe,779000,6.4,35686000,5477000000
MADAGASCAR,Africa,759000,3.1,1816000,2785000000
BOTSWANA,Africa,758000,8.7,32443000,4756000000
BURKINA FASO,Africa,749000,5.5,3481000,49000000
MALAWI,Africa,731000,2.9,1792000,594498000
NAMIBIA,Africa,646000,9.6,21734000,3356000000
AFGHANISTAN,South Asia,627000,2.9,3380000,9749000000
"BAHAMAS, THE",Central America and the Caribbean,608000,2.8,104409000,2512000000
SURINAME,South America,537000,5.0,60896000,1530000000
BENIN,Africa,505000,3.0,6472000,698900000
HAITI,Central America and the Caribbean,472000,1.4,3486000,2566000000
MALDIVES,South Asia,432000,5.8,50886000,673203000
FIJI,Australia and Oceania,427000,5.7,25375000,1597000000
MACAU,East and Southeast Asia,427000,6.3,64641000,29392000000
NIGER,Africa,377000,3.8,1772000,1314000000
WEST BANK,Middle East,352000,5.3,14991000,1328000000
GAZA STRIP,Middle East,352000,5.3,14991000,1328000000
TOGO,Africa,326000,4.0,4538000,77800000
BARBADOS,Central America and the Caribbean,320000,6.5,68293000,1606000000
ARUBA,Central America and the Caribbean,305000,5.5,153952000,1468000000
RWANDA,Africa,294000,3.8,1808000,2406000000
ESWATINI,Africa,285000,5.0,18823000,479261000
TIMOR-LESTE,East and Southeast Asia,277000,4.2,6825000,781995000
GUYANA,South America,259000,4.5,46045000,1010000000
BELIZE,Central America and the Caribbean,220000,8.7,30752000,498087000
DJIBOUTI,Africa,210000,3.6,10428000,348725000
CABO VERDE,Africa,200000,7.6,19999000,783106000
LIBERIA,Africa,199000,2.7,1822000,599660000
CAYMAN ISLANDS,Central America and the Caribbean,176000,2.1,143149000,234000000
CHAD,Africa,167000,2.9,1502000,1050000000
"GAMBIA, THE",Africa,162000,2.8,2731000,577028000
SOMALIA,Africa,156000,0.3,649000,30450000
SEYCHELLES,Africa,156000,5.2,98847000,773678000
SIERRA LEONE,Africa,149000,9.1,2301000,495699000
ANTIGUA AND BARBUDA,Central America and the Caribbean,148000,3.8,110114000,358441000
SOUTH SUDAN,Africa,136000,1.5,2092000,72881000
BURUNDI,Africa,131000,5.0,946000,90350000
LESOTHO,Africa,104000,8.7,8117000,854089000
SAINT LUCIA,Central America and the Caribbean,93000,3.6,47522000,406064000
SAINT KITTS AND NEVIS,Central America and the Caribbean,72000,2.5,81454000,294748000
CENTRAL AFRICAN REPUBLIC,Africa,63000,2.2,954000,479593000
GRENADA,Central America and the Caribbean,60000,3.6,41703000,423263000
SAINT VINCENT AND THE GRENADINES,Central America and the Caribbean,55000,5.7,37253000,316824000
SAMOA,Australia and Oceania,54000,4.8,23476000,507740000
DOMINICA,Central America and the Caribbean,41000,5.5,36395000,155971000
VANUATU,Australia and Oceania,39000,2.2,12934000,643768000
SOLOMON ISLANDS,Australia and Oceania,37000,12.8,5655000,688220000
TONGA,Australia and Oceania,34000,6.6,23272000,396530000
COMOROS,Africa,32000,2.6,7139000,322436000
SAO TOME AND PRINCIPE,Africa,29000,5.0,8875000,46247000
GUINEA-BISSAU,Africa,29000,2.7,2351000,356400000
